Pivots,Query Objects, Cluster Level, BTree degree, Range, Max Leaf Objects, Created Clusters, Range Pivot Distance Filter, Object Filter, Pivot Filter, Double-Pivot Distance Filter
10,100,2,50,0.15,10,69,112,3029083,2453535,1076
10,100,2,100,0.15,10,69,112,3029083,2453535,1076
10,100,2,500,0.15,10,69,112,3029083,2453535,1076
10,100,2,50,0.15,20,69,112,3029083,2453535,1076
10,100,2,100,0.15,20,69,112,3029083,2453535,1076
10,100,2,500,0.15,20,69,112,3029083,2453535,1076
10,100,2,50,0.15,50,69,112,3029083,2453535,1076
10,100,2,100,0.15,50,69,112,3029083,2453535,1076
10,100,2,500,0.15,50,69,112,3029083,2453535,1076
10,100,2,50,0.15,100,69,112,3029083,2453535,1076
10,100,2,100,0.15,100,69,112,3029083,2453535,1076
10,100,2,500,0.15,100,69,112,3029083,2453535,1076
10,100,2,50,0.15,200,69,112,3029083,2453535,1076
10,100,2,100,0.15,200,69,112,3029083,2453535,1076
10,100,2,500,0.15,200,69,112,3029083,2453535,1076
10,100,2,50,0.15,300,69,112,3029083,2453535,1076
10,100,2,100,0.15,300,69,112,3029083,2453535,1076
10,100,2,500,0.15,300,69,112,3029083,2453535,1076
10,100,2,50,0.15,500,69,112,3029083,2453535,1076
10,100,2,100,0.15,500,69,112,3029083,2453535,1076
10,100,2,500,0.15,500,69,112,3029083,2453535,1076
10,100,3,50,0.15,10,318,898,2851464,2275916,2684
10,100,3,100,0.15,10,318,898,2851464,2275916,2684
10,100,3,500,0.15,10,318,898,2851464,2275916,2684
10,100,3,50,0.15,20,304,823,2851548,2276000,2621
10,100,3,100,0.15,20,304,823,2851548,2276000,2621
10,100,3,500,0.15,20,304,823,2851548,2276000,2621
10,100,3,50,0.15,50,281,729,2854651,2278856,2484
10,100,3,100,0.15,50,281,729,2854651,2278856,2484
10,100,3,500,0.15,50,281,729,2854651,2278856,2484
10,100,3,50,0.15,100,268,672,2860933,2284356,2437
10,100,3,100,0.15,100,268,672,2860933,2284356,2437
10,100,3,500,0.15,100,268,672,2860933,2284356,2437
10,100,3,50,0.15,200,250,596,2874798,2296771,2331
10,100,3,100,0.15,200,250,596,2874798,2296771,2331
10,100,3,500,0.15,200,250,596,2874798,2296771,2331
10,100,3,50,0.15,300,240,574,2876233,2298206,2282
10,100,3,100,0.15,300,240,574,2876233,2298206,2282
10,100,3,500,0.15,300,240,574,2876233,2298206,2282
10,100,3,50,0.15,500,228,531,2878853,2300826,2174
10,100,3,100,0.15,500,228,531,2878853,2300826,2174
10,100,3,500,0.15,500,228,531,2878853,2300826,2174
10,100,4,50,0.15,10,952,3505,2740810,2164920,5066
10,100,4,100,0.15,10,952,3505,2740810,2164920,5066
10,100,4,500,0.15,10,952,3505,2740810,2164920,5066
10,100,4,50,0.15,20,863,3017,2764485,2186601,4746
10,100,4,100,0.15,20,863,3017,2764485,2186601,4746
10,100,4,500,0.15,20,863,3017,2764485,2186601,4746
10,100,4,50,0.15,50,740,2320,2864512,2271635,4296
10,100,4,100,0.15,50,740,2320,2864512,2271635,4296
10,100,4,500,0.15,50,740,2320,2864512,2271635,4296
10,100,4,50,0.15,100,623,1675,2909122,2309519,3883
10,100,4,100,0.15,100,623,1675,2909122,2309519,3883
10,100,4,500,0.15,100,623,1675,2909122,2309519,3883
